id,state,institution,series,first_enrollment,degree_enrollment,number_recipients,avg_aid,total_aid,total_cost,udgr_enrollment,acceptance_rate,udgr_recipients,udgr_avg,udgr_aid,private,public,urban,rural,carnegie,doctoral,masters,bachelor,city,suburban,town_rural
168546,MI,Albion College,2012_13,14,53,48,16484,951791,55195,1355,0.7,355,18819,6680745,1,0,0,1,0,0,0,1,0,0,1
168546,MI,Albion College,2013_14,3,39,33,16705,652894,57080,1284,0.56,346,20840,7210640,1,0,0,1,0,0,0,1,0,0,1
168546,MI,Albion College,2014_15,2,30,26,17611,526572,57137,1249,0.61,356,22819,8123564,1,0,0,1,0,0,0,1,0,0,1
168546,MI,Albion College,2015_16,15,34,33,24183,899545,58710,1360,0.8,455,28503,12968865,1,0,0,1,0,0,0,1,0,0,1
168546,MI,Albion College,2016_17,9,31,29,30495,981787,60116,1393,0.72,402,30915,12427830,1,0,0,1,0,0,0,1,0,0,1
168546,MI,Albion College,2017_18,1,28,27,32634,949198,61135,1558,0.71,515,35386,18223790,1,0,0,1,0,0,0,1,0,0,1
168546,MI,Albion College,2018_19,6,26,25,34947,916831,62407,1512,0.68,428,37255,15945140,1,0,0,1,0,0,0,1,0,0,1
168546,MI,Albion College,2019_20,4,23,22,38669,867183,63359,1451,0.69,NA,NA,NA,1,0,0,1,0,0,0,1,0,0,1
143084,IL,Augustana College,2012_13,NA,NA,NA,NA,NA,54851,2531,0.69,644,19326,12445944,1,0,1,0,0,0,0,1,1,0,0
143084,IL,Augustana College,2013_14,NA,NA,NA,NA,NA,55827,2504,0.59,608,19467,11835936,1,0,1,0,0,0,0,1,1,0,0
143084,IL,Augustana College,2014_15,27,56,44,24609,1245222,56201,2469,0.54,716,23161,16583276,1,0,1,0,0,0,0,1,1,0,0
143084,IL,Augustana College,2015_16,27,87,61,23535,1618264,57147,2454,0.49,666,24168,16095888,1,0,1,0,0,0,0,1,1,0,0
143084,IL,Augustana College,2016_17,43,120,86,24502,2339360,57571,2522,0.52,689,25060,17266340,1,0,1,0,0,0,0,1,1,0,0
143084,IL,Augustana College,2017_18,87,186,123,24982,3310244,57550,2634,0.59,735,26173,19237155,1,0,1,0,0,0,0,1,1,0,0
143084,IL,Augustana College,2018_19,90,246,193,28351,5741985,57619,2529,0.64,630,27157,17108910,1,0,1,0,0,0,0,1,1,0,0
143084,IL,Augustana College,2019_20,102,295,212,29193,6308714,57798,2532,0.57,NA,NA,NA,1,0,1,0,0,0,0,1,1,0,0
201195,OH,Baldwin Wallace University,2012_13,1,48,15,9500,171418,46157,3428,0.65,712,15242,10852304,1,0,0,1,1,0,1,0,0,1,0
201195,OH,Baldwin Wallace University,2013_14,7,48,15,10572,187826,46462,3331,0.64,761,15488,11786368,1,0,0,1,1,0,1,0,0,1,0
